t,open,high,low,close,volume
1752934800000,118152,118152,118041.4,118128.7,510292.075138147
1752934500000,118053.9,118179.8,118053.9,118152,1731715.000265589
1752934200000,118112,118122,118028,118052.6,1254680.328677558
1752933900000,118231.9,118231.9,118112,118112,603521.919243022
1752933600000,118197.7,118232,118160.7,118231.9,269172.091193117
1752933300000,118135,118197.7,118082,118197.7,545231.866050567
1752933000000,118190.3,118196,118120,118133.9,596342.491884504
1752932700000,118274.9,118275,118190.6,118190.6,253533.318548891
1752932400000,118315.6,118315.7,118238.6,118274.7,246179.28653541
1752932100000,118303.7,118320.7,118294.7,118315.7,154151.199685891
1752931800000,118280,118311.3,118262.3,118303.7,304016.926104607
1752931500000,118251.6,118280,118251.6,118279.9,211681.871400419
1752931200000,118279.7,118279.8,118209,118251.6,396606.23457678
1752930900000,118241.9,118279.8,118237.4,118279.7,408726.225042547
1752930600000,118174,118242,118174,118241.8,246236.038163913
1752930300000,118258,118258.1,118149.1,118174,289112.951583312
1752930000000,118244,118285,118232.1,118258,458760.536556496
1752929700000,118248.1,118248.1,118216,118243.9,232236.952152954
1752929400000,118222.8,118250,118190.2,118248,247438.768173777
1752929100000,118136.9,118222.7,118100.3,118222.7,650808.53405181
1752928800000,118163.1,118189.7,118130.1,118136.9,1001208.51725501
1752928500000,118239.9,118262,118163.1,118163.1,1869793.981903723
1752928200000,118209.5,118257.9,118150,118239.9,1069891.557416562
1752927900000,118263.4,118316,118200,118209.5,982371.260279778
1752927600000,118170.7,118264,118165,118263.4,376317.395502313
1752927300000,118205,118222,118115,118170.6,947130.411636942
1752927000000,118273.5,118273.5,118165,118205,1033673.722690919
1752926700000,118306.1,118306.1,118207.3,118273.5,452348.347492735
1752926400000,118328,118333,118290,118306.1,252885.946786072
1752926100000,118332.9,118338,118295.7,118327.9,240177.11292577
1752925800000,118355,118355.1,118310,118333,182290.289263572
1752925500000,118433.6,118435,118355,118355,538126.475424553
1752925200000,118453.9,118453.9,118390.7,118433.6,1202380.700880285
1752924900000,118431.1,118455,118421.2,118453.9,399383.544233606
1752924600000,118471.9,118472,118376,118431.2,1209529.496070108
1752924300000,118420.6,118472,118402,118471.9,370553.57973434
1752924000000,118322,118436,118322,118420.6,446395.60950661
1752923700000,118305.9,118321.9,118160.1,118321.9,1277153.092706752
1752923400000,118416,118416,118289.2,118306,479719.284024411
1752923100000,118483.9,118492,118416,118416,597740.862687311
1752922800000,118443.9,118484,118414.4,118483.9,212144.323862762
1752922500000,118378,118444,118340.1,118443.9,1120457.028438608
1752922200000,118369.9,118384.8,118364,118378,570589.142722533
1752921900000,118435.9,118462,118338,118370,668179.785674575
1752921600000,118327.9,118472,118327.9,118435.9,2294677.758401371
1752921300000,118321.9,118328,118307.2,118328,274229.46762124
1752921000000,118330,118332,118321.8,118321.9,283339.971358648
1752920700000,118298,118330,118286.7,118329.9,279479.94983023
1752920400000,118250.1,118298,118250.1,118297.9,252694.818193191
1752920100000,118231.7,118262,118228.3,118250,243377.561669088
1752919800000,118181.8,118235,118181.8,118231.8,315795.065916339
1752919500000,118220.6,118240,118181.8,118181.8,309624.485814105
1752919200000,118239.5,118300,118220.1,118220.6,875960.619441225
1752918900000,118202.8,118247.8,118196.8,118239.4,176252.149838411
1752918600000,118326.9,118326.9,118197.4,118202.9,8612774.970732899
1752918300000,118311.9,118330,118310.1,118326.9,351192.948556173
1752918000000,118271.9,118314.5,118271.9,118312,341177.635531073
1752917700000,118231.2,118306.9,118231.2,118271.9,1058107.911219297
1752917400000,118212.1,118255,118199.9,118231.1,523896.378772473
1752917100000,118200,118251.7,118199.9,118212.1,309519.031174226
1752916800000,118166,118200,118132.1,118200,363124.131530521
1752916500000,118136.6,118174,118136.6,118166,198884.637794641
1752916200000,118152.5,118166,118130,118136.7,165860.809450371
1752915900000,118115.9,118175.8,118115.9,118152.5,441101.358871961
1752915600000,118106.1,118125,118082,118116,507971.40656113
1752915300000,118066.8,118183.8,118065.9,118106,14181964.138491594
1752915000000,118137.3,118137.4,117994.1,118066.8,4596975.644796325
1752914700000,118090,118137.4,118049.7,118137.4,177118.900175551
1752914400000,118049.9,118090,118049.5,118090,497660.285346288
1752914100000,117966.1,118053.5,117941.1,118049.9,726304.514275817
1752913800000,118100.4,118100.5,117966.4,117966.4,1800326.618274203
1752913500000,118061.5,118107.7,118061.5,118100.4,1074792.792141074
1752913200000,118062.9,118128,118060.3,118061.5,539470.674358658
1752912900000,118073.8,118106.2,118056.3,118062.9,1403659.752189645
1752912600000,118236.9,118237,118073.7,118073.7,1021680.969608034
1752912300000,118259.2,118275.7,118236.9,118237,825954.294816404
1752912000000,118172,118259.1,118172,118259.1,389798.543420138
1752911700000,118185,118185.1,118150,118172.1,997608.76892612
1752911400000,118186.5,118196.9,118180.5,118185.1,547933.386818097
